urhobo,english
"17ẹkẹvuọvo urhe rẹ erianriẹn rẹ erhuvwu vẹ umiovwo na wọ riọọ, kidie ẹdẹ re wọ rerọ ku wo ghwu.",the one which goes around the whole land of Cush.
"ẹkẹvuọvo urhe rẹ erianriẹn rẹ erhuvwu vẹ umiovwo na wọ riọọ, kidie ẹdẹ re wọ rerọ ku wo ghwu.",14The name of the third riveris#Dan. 10:4Hiddekel; itisthe one which goes toward the east of Assyria. The fourth riveristhe Euphrates.
"18Ọrovwohwo Ọghẹnẹ da ta, Oyoma rere ọshare ọvo vwọ dia sogono-o, Me ma ọchuko ro fori vwọ kẹ.",The name of the third river
"Ọrovwohwo Ọghẹnẹ da ta, Oyoma rere ọshare ọvo vwọ dia sogono-o, Me ma ọchuko ro fori vwọ kẹ.",#Dan. 10:4
"19Kọye vwẹ evun rẹ otọ na re, Ọrovwohwo Ọghẹnẹ da ma eranvwe keranvwe rẹ aghwa na kugbe ọphran kọphran rẹ enu na, ọ da ghwẹ ayen vwọ kẹ ohwo na sọsa mrẹ obo ro se ayen; obo rẹ ohwo na se eranvwe keranvwe ekpokpọ na, kẹ odẹ yena ese.",Dan. 10:4
"Kọye vwẹ evun rẹ otọ na re, Ọrovwohwo Ọghẹnẹ da ma eranvwe keranvwe rẹ aghwa na kugbe ọphran kọphran rẹ enu na, ọ da ghwẹ ayen vwọ kẹ ohwo na sọsa mrẹ obo ro se ayen; obo rẹ ohwo na se eranvwe keranvwe ekpokpọ na, kẹ odẹ yena ese.",Hiddekel; it
"20Ohwo na de mu odẹ kẹ uchuru ejobi, vwọ kẹ ephran rẹ obenu na, ji te eranvwe rẹ aghwa na, ẹkẹvuọvo vwọ kẹ ekpuyovwi rẹ ohwo na a gbe mrẹ ọchuko ro fori vwọ kẹ-ẹ.",the one which goes toward the east of Assyria. The fourth river
"Ohwo na de mu odẹ kẹ uchuru ejobi, vwọ kẹ ephran rẹ obenu na, ji te eranvwe rẹ aghwa na, ẹkẹvuọvo vwọ kẹ ekpuyovwi rẹ ohwo na a gbe mrẹ ọchuko ro fori vwọ kẹ-ẹ.",the Euphrates.
"21Kọye Ọrovwohwo Ọghẹnẹ da vwẹ ovwerhe rode vwo mu ohwo na, rọ vwọ vwerhẹ re ọ da reyọ ubiedada rọye ode ko di;",15Then theLordGod took the man and put him in the garden of Eden to tend and keep it.
"Kọye Ọrovwohwo Ọghẹnẹ da vwẹ ovwerhe rode vwo mu ohwo na, rọ vwọ vwerhẹ re ọ da reyọ ubiedada rọye ode ko di;",Then the
22ubiedada rẹ Ọrovwohwo Ọghẹnẹ reyọre nẹ oma rẹ ọshare rhe na o da vwọ ma aye ọ da reyọ vwọ kẹ ọshare na.,God took the man and put him in the garden of Eden to tend and keep it.
ubiedada rẹ Ọrovwohwo Ọghẹnẹ reyọre nẹ oma rẹ ọshare rhe na o da vwọ ma aye ọ da reyọ vwọ kẹ ọshare na.,"16And theLordGod commanded the man, saying, “Of every tree of the garden you may freely eat;"
"23Etiyin ọshare na da ta, Ọnana ubeku mẹ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Aye, fikiridie oma rẹ ọshare esiro nurhe.","God commanded the man, saying, “Of every tree of the garden you may freely eat;"
"Etiyin ọshare na da ta, Ọnana ubeku mẹ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Aye, fikiridie oma rẹ ọshare esiro nurhe.","17but of the tree of the knowledge of good and evil#Gen. 3:1, 3, 11, 17you shall not eat, for in the day that you eat of it#Gen. 3:3, 19; (Rom. 6:23)you shall surely#Rom. 5:12; 1 Cor. 15:21, 22die.”"
"24Fiki rẹ ọtiọye na ọshare vwọ yan jẹn ọsẹ rọye vẹ oni rọye vwo kọ rhe gbanọ aye rọye, ayen ke dia oma ọvo.",but of the tree of the knowledge of good and evil
"Fiki rẹ ọtiọye na ọshare vwọ yan jẹn ọsẹ rọye vẹ oni rọye vwo kọ rhe gbanọ aye rọye, ayen ke dia oma ọvo.","#Gen. 3:1, 3, 11, 17"
"25Te ọshare na ve aye rọye da ban phihọ, yẹ oma vo aye-en.","Gen. 3:1, 3, 11, 17"
"Te ọshare na ve aye rọye da ban phihọ, yẹ oma vo aye-en.","you shall not eat, for in the day that you eat of it"
"1Thus the heavens and the earth, and#Ps. 33:6all the host of them, were finished.","#Gen. 3:3, 19; (Rom. 6:23)"
"Thus the heavens and the earth, and","Gen. 3:3, 19; (Rom. 6:23)"
#Ps. 33:6,you shall surely
Ps. 33:6,"#Rom. 5:12; 1 Cor. 15:21, 22"
"all the host of them, were finished.","Rom. 5:12; 1 Cor. 15:21, 22"
"2#Ex. 20:9–11; 31:17; Heb. 4:4, 10And on the seventh day God ended His work which He had done, and He rested on the seventh day from all His work which He had done.",die.”
"#Ex. 20:9–11; 31:17; Heb. 4:4, 10","18And theLordGod said, “Itisnot good that man should be alone;#1 Cor. 11:8, 9; 1 Tim. 2:13I will make him a helper comparable to him.”"
"Ex. 20:9–11; 31:17; Heb. 4:4, 10","God said, “"
"And on the seventh day God ended His work which He had done, and He rested on the seventh day from all His work which He had done.",not good that man should be alone;
"3Then God#(Is. 58:13)blessed the seventh day and sanctified it, because in it He rested from all His work which God had created and made.","#1 Cor. 11:8, 9; 1 Tim. 2:13"
Then God,"1 Cor. 11:8, 9; 1 Tim. 2:13"
#(Is. 58:13),I will make him a helper comparable to him.”
(Is. 58:13),"19#Gen. 1:20, 24Out of the ground theLordGod formed every beast of the field and every bird of the air, and#Ps. 8:6broughtthemto Adam to see what he would call them. And whatever Adam called each living creature, thatwasits name."
"blessed the seventh day and sanctified it, because in it He rested from all His work which God had created and made.","#Gen. 1:20, 24"
"4#Gen. 1:1; Ps. 90:1, 2Thisisthe history of the heavens and the earth when they were created, in the day that theLordGod made the earth and the heavens,","Gen. 1:20, 24"
"#Gen. 1:1; Ps. 90:1, 2",Out of the ground the
"Gen. 1:1; Ps. 90:1, 2","God formed every beast of the field and every bird of the air, and"
This,#Ps. 8:6
"the history of the heavens and the earth when they were created, in the day that the",Ps. 8:6
Lord,brought
"God made the earth and the heavens,",them
"5before any#Gen. 1:11, 12plant of the field was in the earth and before any herb of the field had grown. For theLordGod had not#Gen. 7:4; Job 5:10; 38:26–28caused it to rain on the earth, andtherewasno man#Gen. 3:23to till the ground;","to Adam to see what he would call them. And whatever Adam called each living creature, that"
before any,its name.
"#Gen. 1:11, 12","20So Adam gave names to all cattle, to the birds of the air, and to every beast of the field. But for Adam there was not found a helper comparable to him."
"Gen. 1:11, 12","So Adam gave names to all cattle, to the birds of the air, and to every beast of the field. But for Adam there was not found a helper comparable to him."
plant of the field was in the earth and before any herb of the field had grown. For the,"21And theLordGod caused a#Gen. 15:12; 1 Sam. 26:12deep sleep to fall on Adam, and he slept; and He took one of his ribs, and closed up the flesh in its place."
God had not,God caused a
#Gen. 7:4; Job 5:10; 38:26–28,#Gen. 15:12; 1 Sam. 26:12
Gen. 7:4; Job 5:10; 38:26–28,Gen. 15:12; 1 Sam. 26:12
"caused it to rain on the earth, and","deep sleep to fall on Adam, and he slept; and He took one of his ribs, and closed up the flesh in its place."
there,"22Then the rib which theLordGod had taken from man He made into a woman,#Gen. 3:20; 1 Tim. 2:13and He#Heb. 13:4brought her to the man."
was,Then the rib which the
no man,"God had taken from man He made into a woman,"
#Gen. 3:23,#Gen. 3:20; 1 Tim. 2:13
Gen. 3:23,Gen. 3:20; 1 Tim. 2:13
to till the ground;,and He
6but a mist went up from the earth and watered the whole face of the ground.,#Heb. 13:4
but a mist went up from the earth and watered the whole face of the ground.,Heb. 13:4
"7And theLordGod formed manofthe#Gen. 3:19, 23; Ps. 103:14dust of the ground, and#Job 33:4breathed into his#Gen. 7:22nostrils the breath of life; and#1 Cor. 15:45man became a living being.",brought her to the man.
And the,23And Adam said:
God formed man,And Adam said:
the,“Thisisnow#Gen. 29:14; Eph. 5:28–30bone of my bones
"#Gen. 3:19, 23; Ps. 103:14",“This
"Gen. 3:19, 23; Ps. 103:14",now
"dust of the ground, and",#Gen. 29:14; Eph. 5:28–30
#Job 33:4,Gen. 29:14; Eph. 5:28–30
Job 33:4,bone of my bones
breathed into his,And flesh of my flesh;
#Gen. 7:22,"She shall be called Woman,"
Gen. 7:22,"Because she was#1 Cor. 11:8, 9taken out of Man.”"
nostrils the breath of life; and,Because she was
#1 Cor. 15:45,"#1 Cor. 11:8, 9"
1 Cor. 15:45,"1 Cor. 11:8, 9"
man became a living being.,taken out of Man.”
Life in God’s Garden,"24#Matt. 19:5; Eph. 5:31Therefore a man shall leave his father and mother and#Mark 10:6–8; 1 Cor. 6:16be joined to his wife, and they shall become one flesh."
"8TheLordGod planted#Is. 51:3a garden#Gen. 3:23, 24eastward in#Gen. 4:16Eden, and there He put the man whom He had formed.",#Matt. 19:5; Eph. 5:31
The,Matt. 19:5; Eph. 5:31
God planted,Therefore a man shall leave his father and mother and
#Is. 51:3,#Mark 10:6–8; 1 Cor. 6:16
Is. 51:3,Mark 10:6–8; 1 Cor. 6:16
a garden,"be joined to his wife, and they shall become one flesh."
"#Gen. 3:23, 24","25#Gen. 3:7, 10And they were both naked, the man and his wife, and were not#Is. 47:3ashamed."
"Gen. 3:23, 24","#Gen. 3:7, 10"
eastward in,"Gen. 3:7, 10"
#Gen. 4:16,"And they were both naked, the man and his wife, and were not"
Gen. 4:16,#Is. 47:3
"Eden, and there He put the man whom He had formed.",Is. 47:3
Search,"with me, she gave me of the tree, and I ate.”"
Eshe rẹ Ohwo,"13And theLordGod said to the woman, “Whatisthis you have done?”"
"1Asakiephana ọrọdekọ kọye Me vwo aghwanre nọ eranvwe ri chekọ vwẹ aghwa rẹ Ọrovwohwo Ọghẹnẹ mare na. Ọ da ta kẹ aye na, Ọ dianẹ Ọghẹnẹ tare nẹ, Wọ re emamọ rẹ irhe rẹ udju na vuọvo-o?",And the
"Asakiephana ọrọdekọ kọye Me vwo aghwanre nọ eranvwe ri chekọ vwẹ aghwa rẹ Ọrovwohwo Ọghẹnẹ mare na. Ọ da ta kẹ aye na, Ọ dianẹ Ọghẹnẹ tare nẹ, Wọ re emamọ rẹ irhe rẹ udju na vuọvo-o?","God said to the woman, “What"
"2Aye na da ta kẹ ọrọdekọ na, Avwanre sa re emamọ rẹ irhe rẹ udju na,",this you have done?”
"Aye na da ta kẹ ọrọdekọ na, Avwanre sa re emamọ rẹ irhe rẹ udju na,","The woman said,#Gen. 3:4; 2 Cor. 11:3; 1 Tim. 2:14“The serpent deceived me, and I ate.”"
"3ẹkẹvuọvo Ọghẹnẹ tare nẹ, Wa ria emamọ rẹ urhe rọ uherevie rẹ udju na-a, eyẹ wa vwẹ obọ te-e, we de rhe ghwu.","The woman said,"
"ẹkẹvuọvo Ọghẹnẹ tare nẹ, Wa ria emamọ rẹ urhe rọ uherevie rẹ udju na-a, eyẹ wa vwẹ obọ te-e, we de rhe ghwu.",#Gen. 3:4; 2 Cor. 11:3; 1 Tim. 2:14
"4Ẹkẹvuọvo ọrọdekọ na da ta kẹ aye na, We che ghwu-u.",Gen. 3:4; 2 Cor. 11:3; 1 Tim. 2:14
"Ẹkẹvuọvo ọrọdekọ na da ta kẹ aye na, We che ghwu-u.","“The serpent deceived me, and I ate.”"
"5Kidie Ọghẹnẹ riẹnre nẹ ọke wa da riọ ẹro rẹ ovwan ko rhie, ku wa họhọ Ọghẹnẹ, rọ riẹn erhuvwu vẹ umiovwo.",14So theLordGod said to the serpent:
"Kidie Ọghẹnẹ riẹnre nẹ ọke wa da riọ ẹro rẹ ovwan ko rhie, ku wa họhọ Ọghẹnẹ, rọ riẹn erhuvwu vẹ umiovwo.",So the
"6Rẹ aye na vwọ mrẹ nẹ urhe na fẹriọ, o ki rhe fẹro, nẹ urhe na ki rhe ru ohwo ghwanre, ọ da reyọ omamọ rọye ọ da riọ; ọ da je vwẹ ẹvo kẹ ọshare rọye ọ da je re.",God said to the serpent:
"Rẹ aye na vwọ mrẹ nẹ urhe na fẹriọ, o ki rhe fẹro, nẹ urhe na ki rhe ru ohwo ghwanre, ọ da reyọ omamọ rọye ọ da riọ; ọ da je vwẹ ẹvo kẹ ọshare rọye ọ da je re.","“Because you have done this,"
"7Kọye ẹro rayen ivẹ de rhie, ayen da riẹn nẹ ayen ban phihọ, ayen de ko ẹbe ri fig kugbe vwo ru amwa vwo rhuo oma rayen.","Youarecursed more than all cattle,"
"Kọye ẹro rayen ivẹ de rhie, ayen da riẹn nẹ ayen ban phihọ, ayen de ko ẹbe ri fig kugbe vwo ru amwa vwo rhuo oma rayen.",You
"8Ayen de nyo urhuru rẹ Ọrovwohwo Ọghẹnẹ rọ yan vwẹ udju na vwẹ ọke rẹ ovwọnvwọn, te ọshare na te aye na de si oma nu kẹ Ọrovwohwo Ọghẹnẹ vwẹ uvwre rẹ irhe rẹ udju na.","cursed more than all cattle,"
"Ayen de nyo urhuru rẹ Ọrovwohwo Ọghẹnẹ rọ yan vwẹ udju na vwẹ ọke rẹ ovwọnvwọn, te ọshare na te aye na de si oma nu kẹ Ọrovwohwo Ọghẹnẹ vwẹ uvwre rẹ irhe rẹ udju na.",And more than every beast of the field;
"9Ẹkẹvuọvo Ọrovwohwo Ọghẹnẹ de se ọshare na, ọ da ta kẹ nẹ, Tivọ wọ epha vwo?","On your belly you shall go,"
"Ẹkẹvuọvo Ọrovwohwo Ọghẹnẹ de se ọshare na, ọ da ta kẹ nẹ, Tivọ wọ epha vwo?",And#Deut. 28:15–20; Is. 65:25; Mic. 7:17you shall eat dust
"10Ọ da tanẹ, Mi nyo urhuru wẹn vwẹ evun rẹ udju na, oshọ ko mu vwe, fikiridie Me ban phihọ; ki mi si oma mẹ nu.",And
"Ọ da tanẹ, Mi nyo urhuru wẹn vwẹ evun rẹ udju na, oshọ ko mu vwe, fikiridie Me ban phihọ; ki mi si oma mẹ nu.",#Deut. 28:15–20; Is. 65:25; Mic. 7:17
"11O da ta, Ono ta kẹ wẹ nẹ wọ ban phihọ? Takpe wọ re omamọ rẹ urhe ri mi ji urhi kẹ wẹ nu wọ ria-a na?",Deut. 28:15–20; Is. 65:25; Mic. 7:17
"O da ta, Ono ta kẹ wẹ nẹ wọ ban phihọ? Takpe wọ re omamọ rẹ urhe ri mi ji urhi kẹ wẹ nu wọ ria-a na?",you shall eat dust
"12Ọshare na da ta, Aye ru wọ vwọ kẹ vwẹ nẹ o nene uvwe dia, ọye vwẹ emamọ rẹ urhe na kẹ vwẹ, Me da re.",All the days of your life.
"Ọshare na da ta, Aye ru wọ vwọ kẹ vwẹ nẹ o nene uvwe dia, ọye vwẹ emamọ rẹ urhe na kẹ vwẹ, Me da re.",15And I will put enmity
"13Etiyin Ọrovwohwo Ọghẹnẹ da ta kẹ aye na, Ọna ki didi emu wo ruru na? Aye na da ta, Ọrọdekọ re phiẹn vwẹ, Me da re.",And I will put enmity
"Etiyin Ọrovwohwo Ọghẹnẹ da ta kẹ aye na, Ọna ki didi emu wo ruru na? Aye na da ta, Ọrọdekọ re phiẹn vwẹ, Me da re.","Between you and the woman,"
"14Ọrovwohwo Ọghẹnẹ da ta kẹ ọrọdekọ na, Fiki robo wo vwo ru emu nana, eka kẹ wẹ vwẹ ohri rẹ uchuru ejobi, kugbe ohri rẹ eranvwe ejobi; evun wẹn kọye wo vwo kpono yan, ekpẹn kọye wọ cha re vwẹ ẹdẹ rẹ akpọ wẹn ejobi.","And between#John 8:44; Acts 13:10; 1 John 3:8your seed and#Is. 7:14; Luke 1:31, 34, 35; Gal. 4:4her Seed;"
"Ọrovwohwo Ọghẹnẹ da ta kẹ ọrọdekọ na, Fiki robo wo vwo ru emu nana, eka kẹ wẹ vwẹ ohri rẹ uchuru ejobi, kugbe ohri rẹ eranvwe ejobi; evun wẹn kọye wo vwo kpono yan, ekpẹn kọye wọ cha re vwẹ ẹdẹ rẹ akpọ wẹn ejobi.",And between
"15Ki mi phi eghrẹ phihọ uvwre wẹn vẹ ọ rẹ aye na, Te uvwre rẹ emọ wẹn vẹ erẹ aye na, kọ ghwiẹ wẹ uyovwi, ku wọ rhovwọ uchukowọ.",#John 8:44; Acts 13:10; 1 John 3:8
"Ki mi phi eghrẹ phihọ uvwre wẹn vẹ ọ rẹ aye na, Te uvwre rẹ emọ wẹn vẹ erẹ aye na, kọ ghwiẹ wẹ uyovwi, ku wọ rhovwọ uchukowọ.",John 8:44; Acts 13:10; 1 John 3:8
"16Vwọ kẹ aye na ọ da ta, Me kẹ wẹ odjadja buebu vwẹ ọke rẹ evwiẹ wẹn, vwẹ odjadja wo de vwiẹ emọ, ẹguọnọ wẹn kẹ obọ rẹ ọshare wẹn onurhe, ko sun we.",your seed and
"Vwọ kẹ aye na ọ da ta, Me kẹ wẹ odjadja buebu vwẹ ọke rẹ evwiẹ wẹn, vwẹ odjadja wo de vwiẹ emọ, ẹguọnọ wẹn kẹ obọ rẹ ọshare wẹn onurhe, ko sun we.","#Is. 7:14; Luke 1:31, 34, 35; Gal. 4:4"
"17Vwọ kẹ Adam ọ da tanẹ, Fikiridie wọ vwọ kerhọ rẹ aye wẹn, wo da re emamọ rẹ urhe na re Me djẹ wẹ nu wọ ria-a na, eka kọ dia kẹ otọ na fiki wẹn, vwẹ evun rẹ owian wọ ke sa re emu vwẹ ẹdẹ rẹ akpọ wẹn ejobi;","Is. 7:14; Luke 1:31, 34, 35; Gal. 4:4"
"Vwọ kẹ Adam ọ da tanẹ, Fikiridie wọ vwọ kerhọ rẹ aye wẹn, wo da re emamọ rẹ urhe na re Me djẹ wẹ nu wọ ria-a na, eka kọ dia kẹ otọ na fiki wẹn, vwẹ evun rẹ owian wọ ke sa re emu vwẹ ẹdẹ rẹ akpọ wẹn ejobi;",her Seed;
"18idjigbẹ vẹ ekpia ke djẹ nẹ otọ na rhe kẹ wẹ, ku wọ cha re ekankọn rẹ aghwa na.","#Rom. 16:20; (Rev. 12:7, 17)He shall bruise your head,"
"idjigbẹ vẹ ekpia ke djẹ nẹ otọ na rhe kẹ wẹ, ku wọ cha re ekankọn rẹ aghwa na.","#Rom. 16:20; (Rev. 12:7, 17)"
"19Ọdja kọ dia opharo wẹn wọ ke cha re emu, bẹsiẹ wo che vwo rhivwi kpo otọ ri wo nurhe, ekpẹn wo ji che hirhe ra.","Rom. 16:20; (Rev. 12:7, 17)"
"Ọdja kọ dia opharo wẹn wọ ke cha re emu, bẹsiẹ wo che vwo rhivwi kpo otọ ri wo nurhe, ekpẹn wo ji che hirhe ra.","He shall bruise your head,"
"20Ọshare na de se odẹ rẹ aye rọye Ivi, fikiridie ọye oni rẹ ihwo rẹ akpọ na ejobi.",And you shall bruise His heel.”
"Ọshare na de se odẹ rẹ aye rọye Ivi, fikiridie ọye oni rẹ ihwo rẹ akpọ na ejobi.",16To the woman He said:
"21Ọrovwohwo Ọghẹnẹ de ko ewun rẹ ophiẹn kẹ Adam vẹ aye rọye, o de rhuo ayen.",To the woman He said:
"Ọrovwohwo Ọghẹnẹ de ko ewun rẹ ophiẹn kẹ Adam vẹ aye rọye, o de rhuo ayen.",“I will greatly multiply your sorrow and your conception;
"22Ọrovwohwo Ọghẹnẹ da ta, Nighe, ohwo rhoma rhe họhọ ọvo rẹ avwanre re, rọ riẹn erhuvwu vẹ umiovwo re, Asakiephana, a da fọ ke, ọ cha riẹn obọ rọye rhe ọ da je rhe reyọ omamọ rẹ urhe rẹ arhọ na, ọ da riọ, ọ da rhe dia bẹdẹ.",#Is. 13:8; John 16:21In pain you shall bring forth children;
"Ọrovwohwo Ọghẹnẹ da ta, Nighe, ohwo rhoma rhe họhọ ọvo rẹ avwanre re, rọ riẹn erhuvwu vẹ umiovwo re, Asakiephana, a da fọ ke, ọ cha riẹn obọ rọye rhe ọ da je rhe reyọ omamọ rẹ urhe rẹ arhọ na, ọ da riọ, ọ da rhe dia bẹdẹ.",#Is. 13:8; John 16:21
"23Fiki rẹ ọtiọye na Ọrovwohwo Ọghẹnẹ da djẹ nẹ evun rẹ udju rẹ Idẹn na, nẹ o gbe re voro otọ ra reyerọ nurhe na.",Is. 13:8; John 16:21
"Fiki rẹ ọtiọye na Ọrovwohwo Ọghẹnẹ da djẹ nẹ evun rẹ udju rẹ Idẹn na, nẹ o gbe re voro otọ ra reyerọ nurhe na.",In pain you shall bring forth children;
"24Ọ da djẹ ohwo na ruẹ afe, vwẹ obọrhe rẹ udju rẹ Idẹn na, o de phi chẹrobim, ọ vẹ ọnọkọ rẹ erhanre rọ rhẹriẹ kpenẹ kpenẹ, rọ rhẹrẹ urhe rẹ arhọ na.","#Gen. 4:7Your desireshallbefor your husband,"
"Ọ da djẹ ohwo na ruẹ afe, vwẹ obọrhe rẹ udju rẹ Idẹn na, o de phi chẹrobim, ọ vẹ ọnọkọ rẹ erhanre rọ rhẹriẹ kpenẹ kpenẹ, rọ rhẹrẹ urhe rẹ arhọ na.",#Gen. 4:7
The Temptation and Fall of Man,Gen. 4:7
"1Now#1 Chr. 21:1; (Rev. 12:9; 20:2, 10)the serpent was#2 Cor. 11:3more cunning than any beast of the field which theLordGod had made. And he said to the woman, “Has God indeed said, ‘You shall not eat of every tree of the garden’?”",Your desire
Now,shall
"#1 Chr. 21:1; (Rev. 12:9; 20:2, 10)","for your husband,"
"1 Chr. 21:1; (Rev. 12:9; 20:2, 10)","And he shall#1 Cor. 11:3; Eph. 5:22; 1 Tim. 2:12, 15rule over you.”"
the serpent was,And he shall
#2 Cor. 11:3,"#1 Cor. 11:3; Eph. 5:22; 1 Tim. 2:12, 15"
2 Cor. 11:3,"1 Cor. 11:3; Eph. 5:22; 1 Tim. 2:12, 15"
more cunning than any beast of the field which the,rule over you.”
Lord,"17Then to Adam He said,#1 Sam. 15:23“Because you have heeded the voice of your wife, and have eaten from the tree#Gen. 2:17of which I commanded you, saying, ‘You shall not eat of it’:"
"God had made. And he said to the woman, “Has God indeed said, ‘You shall not eat of every tree of the garden’?”","Then to Adam He said,"
"2And the woman said to the serpent, “We may eat the#Gen. 2:16, 17fruit of the trees of the garden;",#1 Sam. 15:23
"And the woman said to the serpent, “We may eat the",1 Sam. 15:23
"#Gen. 2:16, 17","“Because you have heeded the voice of your wife, and have eaten from the tree"
"Gen. 2:16, 17",#Gen. 2:17
fruit of the trees of the garden;,Gen. 2:17
"3but of the fruit of the tree whichisin the midst of the garden, God has said, ‘You shall not eat it, nor shall you#Ex. 19:12, 13; Rev. 22:14touch it, lest you die.’ ”","of which I commanded you, saying, ‘You shall not eat of it’:"
but of the fruit of the tree which,#Gen. 5:29; Rom. 8:20–22; Heb. 6:8“Cursedisthe ground for your sake;
"in the midst of the garden, God has said, ‘You shall not eat it, nor shall you",#Gen. 5:29; Rom. 8:20–22; Heb. 6:8
"#Ex. 19:12, 13; Rev. 22:14",Gen. 5:29; Rom. 8:20–22; Heb. 6:8
"Ex. 19:12, 13; Rev. 22:14",“Cursed
"touch it, lest you die.’ ”",the ground for your sake;
"4#John 8:44; (2 Cor. 11:3; 1 Tim. 2:14)Then the serpent said to the woman, “You will not surely die.",#Job 5:7; 14:1; Eccl. 2:23In toil you shall eatofit
#John 8:44; (2 Cor. 11:3; 1 Tim. 2:14),#Job 5:7; 14:1; Eccl. 2:23
John 8:44; (2 Cor. 11:3; 1 Tim. 2:14),Job 5:7; 14:1; Eccl. 2:23
"Then the serpent said to the woman, “You will not surely die.",In toil you shall eat
"5For God knows that in the day you eat of it your eyes will be opened, and you will be like God, knowing good and evil.”","18Both thorns and thistles it shall bring forth for you,"
"For God knows that in the day you eat of it your eyes will be opened, and you will be like God, knowing good and evil.”","Both thorns and thistles it shall bring forth for you,"
"6So when the woman#1 John 2:16saw that the treewasgood for food, that itwaspleasant to the eyes, and a tree desirable to makeonewise, she took of its fruit#1 Tim. 2:14and ate. She also gave to her husband with her, and he ate.",And#Ps. 104:14you shall eat the herb of the field.
So when the woman,#Ps. 104:14
#1 John 2:16,Ps. 104:14
1 John 2:16,you shall eat the herb of the field.
saw that the tree,19#2 Thess. 3:10In the sweat of your face you shall eat bread
was,#2 Thess. 3:10
"good for food, that it",2 Thess. 3:10
"pleasant to the eyes, and a tree desirable to make",In the sweat of your face you shall eat bread
one,"Till you return to the ground,"
"wise, she took of its fruit",For out of it you were taken;
#1 Tim. 2:14,"#Gen. 2:7; 5:5For dust youare,"
1 Tim. 2:14,#Gen. 2:7; 5:5
"and ate. She also gave to her husband with her, and he ate.",Gen. 2:7; 5:5
"7Then the eyes of both of them were opened,#Gen. 2:25and they knew that theywerenaked; and they sewed fig leaves together and made themselves coverings.",For dust you
"Then the eyes of both of them were opened,","are,"
#Gen. 2:25,And#Job 21:26; Eccl. 3:20to dust you shall return.”
Gen. 2:25,#Job 21:26; Eccl. 3:20
and they knew that they,Job 21:26; Eccl. 3:20
were,to dust you shall return.”
naked; and they sewed fig leaves together and made themselves coverings.,"20And Adam called his wife’s name#2 Cor. 11:3; 1 Tim. 2:13Eve, because she was the mother of all living."
"8And they heard#Job 38:1the sound of theLordGod walking in the garden in the cool of the day, and Adam and his wife#Job 31:33; Jer. 23:24hid themselves from the presence of theLordGod among the trees of the garden.",And Adam called his wife’s name
And they heard,#2 Cor. 11:3; 1 Tim. 2:13
#Job 38:1,2 Cor. 11:3; 1 Tim. 2:13
Job 38:1,"Eve, because she was the mother of all living."
the sound of the,"21Also for Adam and his wife theLordGod made tunics of skin, and clothed them."
"God walking in the garden in the cool of the day, and Adam and his wife",Also for Adam and his wife the
#Job 31:33; Jer. 23:24,"God made tunics of skin, and clothed them."
Job 31:33; Jer. 23:24,"22Then theLordGod said, “Behold, the man has become like one of Us, to know good and evil. And now, lest he put out his hand and take also of the tree of life, and eat, and live forever”—"
hid themselves from the presence of the,"God said, “Behold, the man has become like one of Us, to know good and evil. And now, lest he put out his hand and take also of the tree of life, and eat, and live forever”—"
God among the trees of the garden.,23therefore theLordGod sent him out of the garden of Eden#Gen. 4:2; 9:20to till the ground from which he was taken.
"9Then theLordGod called to Adam and said to him, “Whereareyou?”",therefore the
Then the,God sent him out of the garden of Eden
"God called to Adam and said to him, “Where",#Gen. 4:2; 9:20
are,Gen. 4:2; 9:20
you?”,to till the ground from which he was taken.
"10So he said, “I heard Your voice in the garden,#Gen. 2:25; Ex. 3:6; Deut. 9:19; 1 John 3:20and I was afraid because I was naked; and I hid myself.”","24So#Ezek. 31:3, 11He drove out the man; and He placed#Ex. 25:18–22; Ps. 104:4; Ezek. 10:1–20; Heb. 1:7cherubim#Gen. 2:8at the east of the garden of Eden, and a flaming sword which turned every way, to guard the way to the tree of#Gen. 2:9; (Rev. 22:2)life."
"So he said, “I heard Your voice in the garden,","#Ezek. 31:3, 11"
#Gen. 2:25; Ex. 3:6; Deut. 9:19; 1 John 3:20,"Ezek. 31:3, 11"
Gen. 2:25; Ex. 3:6; Deut. 9:19; 1 John 3:20,He drove out the man; and He placed
and I was afraid because I was naked; and I hid myself.”,#Ex. 25:18–22; Ps. 104:4; Ezek. 10:1–20; Heb. 1:7
"11And He said, “Who told you that youwerenaked? Have you eaten from the tree of which I commanded you that you should not eat?”",Ex. 25:18–22; Ps. 104:4; Ezek. 10:1–20; Heb. 1:7
"And He said, “Who told you that you",cherubim
naked? Have you eaten from the tree of which I commanded you that you should not eat?”,#Gen. 2:8
"12Then the man said,#(Prov. 28:13)“The woman whom You gavetobewith me, she gave me of the tree, and I ate.”",Gen. 2:8
"Then the man said,","at the east of the garden of Eden, and a flaming sword which turned every way, to guard the way to the tree of"
#(Prov. 28:13),#Gen. 2:9; (Rev. 22:2)
(Prov. 28:13),Gen. 2:9; (Rev. 22:2)
“The woman whom You gave,life.
Search,#John 8:44
Ken kugbe Ebẹl,John 8:44
